"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant"
"1376","SLP",2,0,0,"4",2014,41,83,60,8,5,1,2015,0,NA,"1",48,65,74,0,0,1,13,1040633.97874509,53454.1990008303,60444.2426550676,0.122896137284691,5,8,0,0,13,0,NA,0,FALSE
"1377","SLP",2,0,0,"6",2016,55,69,47,13,59,0.25,2017,0,NA,"1",58,65,47,5,26,0.5,13,1040633.97874509,46695.8478047953,46388.2335241313,-0.00660940938767496,236,52,52,10,288,62,4.12713438504509,1,FALSE
"1378","SLP",2,0,0,"6",2015,56,62,43,1,0,1,2016,0,NA,"1",55,69,47,13,59,0.25,13,1040633.97874509,39085.6014008618,46695.8478047953,0.177901100065986,0,1,236,52,1,288,5.66296048013595,1,FALSE
"1379","SLP",2,0,0,"1",2015,38,76,69,0,0,1,2016,0,NA,"1",46,80,76,0,2,1,13,1040633.97874509,52169.2876055121,73220.0527796661,0.33897536683933,0,0,2,0,0,2,0.693147180559945,1,FALSE
"1380","SLP",2,0,0,"3",2014,71,90,62,0,13,1,2015,0,NA,"1",71,86,72,0,0,1,13,1040633.97874509,103719.681458267,115095.388456916,0.104069359894206,13,0,0,0,13,0,NA,0,FALSE
"1381","SLP",2,0,0,"1",2014,35,71,58,0,0,1,2015,0,NA,"1",38,76,69,0,0,1,13,1040633.97874509,37733.1457634914,52169.2876055121,0.323955055532828,0,0,0,0,0,0,NA,0,FALSE
"1382","SLP",2,0,0,"5",2015,34,57,43,0,0,1,2016,0,NA,"1",33,52,35,0,2,1,13,1040633.97874509,21816.7901828543,15723.6712312169,-0.327512566606952,0,0,2,0,0,2,0.693147180559945,1,FALSE
"1383","SLP",2,0,0,"4",2015,48,65,74,0,0,1,2016,0,NA,"1",53,92,77,4,26,1,13,1040633.97874509,60444.2426550676,98293.1037479662,0.486232538447149,0,0,26,4,0,30,3.40119738166216,1,FALSE
"1384","SLP",2,0,0,"5",2016,33,52,35,0,2,1,2017,0,NA,"1",34,43,42,0,1,1,13,1040633.97874509,15723.6712312169,16075.529608419,0.0221309170557706,2,0,1,0,2,1,0,1,FALSE
"1385","SLP",2,100,100,"7",2014,11,23,13,0,0,1,2015,0,NA,"1",13,35,30,0,0,1,1,3144.73424624338,861.058186471402,3573.56164345839,1.42315595442405,0,0,0,0,0,0,NA,0,FALSE
"1386","SLP",2,100,100,"1",2015,48,70,68,6,1,1,2016,0,NA,"1",50,83,82,64,43,0.125,1,3144.73424624338,59815.9241243497,89090.3316680506,0.39837890235564,1,6,344,512,7,856,6.75227037614174,1,FALSE
"1387","SLP",2,100,100,"6",2014,14,33,26,0,0,1,2015,0,NA,"1",21,49,40,0,0,1,1,3144.73424624338,3144.73424624338,10775.662801813,1.23156076084476,0,0,0,0,0,0,NA,0,FALSE
"1388","SLP",2,100,100,"11",2014,10,17,12,0,0,1,2015,0,NA,"1",22,25,16,0,0,1,1,3144.73424624338,534.070751110265,2303.83461263252,1.46180191362804,0,0,0,0,0,0,NA,0,FALSE
"1389","SLP",2,100,100,"11",2015,22,25,16,0,0,1,2016,0,NA,"1",23,34,24,2,0,1,1,3144.73424624338,2303.83461263252,4913.45091021444,0.757401570426959,0,0,0,2,0,2,0.693147180559945,1,FALSE
