"","site","transect","actual.window","designated.window","plant","year_t","max.ht_t","max.w_t","perp.w_t","flowers_t","fruits_t","reproductive_fraction_t","year_t1","new.plant_t1","seedling_t1","survival_t1","max.ht_t1","max.w_t1","perp.w_t1","flowers_t1","fruits_t1","reproductive_fraction_t1","density","weighted.dens","volume_t","volume_t1","logGR","total.fruits_t","total.flowers_t","total.fruits_t1","total.flowers_t1","total.reproduction_t","total.reproduction_t1","logTR1","did.flower","transplant","seeds.emp","seeds.PMod","seeds.FMod","recruits","recruit.prob"
"76","FPS",1,150,150,"3",2016,51,49,37,2,12,1,2017,0,NA,"1",58,54,43,0,0,1,1,12.862455689374,10.0943870795406,10.4704504088657,0.0365775082805115,12,2,0,0,14,0,NA,0,FALSE,8766,8766,4858.74333456264,0,0
"77","FPS",1,150,150,"4",2016,85,148,143,145,224,0.125,2017,0,NA,"1",100,163,148,80,420,0.125,1,12.862455689374,13.0625313965757,13.3559558966204,0.0222144866483734,1792,1160,3360,640,2952,4000,8.29404964010203,1,FALSE,8766,8766,4858.74333456264,0,0
"78","FPS",1,165,150,"3s",2014,6,5,2.5,0,0,1,2015,0,NA,"1",7.5,10,9,0,0,1,1,9.72546109806962,2.97731134959771,5.17453592693393,0.552728997592794,0,0,0,0,0,0,NA,0,FALSE,0,4909.48572586135,4909.48572586135,1,0.000203687322020792
"79","FPS",1,165,150,"3s",2013,NA,NA,NA,NA,NA,NA,2014,1,1,"",6,5,2.5,0,0,1,1,9.72546109806962,NA,2.97731134959771,NA,NA,NA,0,0,NA,0,NA,0,FALSE,0,4909.48572586135,4909.48572586135,1,0.000203687322020792
"80","FPS",1,165,165,"3s",2015,7.5,10,9,0,0,1,2016,0,NA,"1",11,13,12,0,0,1,1,9.72546109806962,5.17453592693393,6.10757451610931,0.165780065654518,0,0,0,0,0,0,NA,0,FALSE,0,4909.48572586135,4909.48572586135,1,0.000203687322020792
"81","FPS",1,165,165,"3s",2016,11,13,12,0,0,NA,2017,0,NA,"1",15,19,17,0,0,1,1,9.72546109806962,6.10757451610931,7.14552576038627,0.156956668223371,NA,NA,0,0,NA,0,NA,0,FALSE,0,4909.48572586135,4909.48572586135,1,0.000203687322020792
"82","FPS",1,200,200,"4",2014,82,117,116,307,129,0.5,2015,0,NA,"1",90,130,117,9,8,1,1,12.2342910028236,12.5823066092298,12.789341291645,0.0163205227089908,258,614,8,9,872,17,2.83321334405622,1,FALSE,10945,10945,4868.90419949155,0,0
"83","FPS",1,200,200,"3",2014,84,125,119,302,222,0.5,2015,0,NA,"1",84,131,121,84,13,1,1,12.2342910028236,12.6980772653185,12.7616279037026,0.00499226286791935,444,604,13,84,1048,97,4.57471097850338,1,FALSE,10945,10945,4868.90419949155,0,0
"84","FPS",1,200,200,"1",2013,46,69,49,0,4,1,2014,0,NA,"1",54,74,84,46,4,1,1,12.2342910028236,10.6143914352584,11.3836891746732,0.0699707938423257,4,0,4,46,4,50,3.91202300542815,1,FALSE,10945,10945,4868.90419949155,0,0
"85","FPS",1,200,200,"4",2013,72,107,102,14,32,1,2014,0,NA,"1",82,117,116,307,129,0.5,1,12.2342910028236,12.2342910028236,12.5823066092298,0.028048842791486,32,14,258,614,46,872,6.77078942390898,1,FALSE,10945,10945,4868.90419949155,0,0
"86","FPS",1,200,200,"1",2015,50,92,78,7,0,1,2016,0,NA,"1",62,110,104,125,137,0.125,1,12.2342910028236,11.4503436452282,12.1318288860403,0.0578127431445001,0,7,1096,1000,7,2096,7.64778604544093,1,FALSE,10945,10945,4868.90419949155,0,0
"87","FPS",1,200,200,"2",2015,80,140,132,21,0,1,2016,0,NA,"1",85,151,134,171,177,0.125,1,12.2342910028236,12.866294215931,13.0175941293176,0.01169079657616,0,21,1416,1368,21,2784,7.93164402145431,1,FALSE,10945,10945,4868.90419949155,0,0
"88","FPS",1,200,200,"2",2013,64,103,95,24,13,1,2014,0,NA,"1",75,116,120,439,101,1,1,12.2342910028236,12.0073121992512,12.5183932834861,0.0416832112994564,13,24,101,439,37,540,6.29156913955832,1,FALSE,10945,10945,4868.90419949155,0,0
"89","FPS",1,200,200,"4",2015,90,130,117,9,8,1,2016,0,NA,"1",92,110,108,145,322,1,1,12.2342910028236,12.789341291645,12.5642234060271,-0.0177587494789517,8,9,322,145,17,467,6.1463292576689,1,FALSE,10945,10945,4868.90419949155,0,0
"90","FPS",1,200,200,"3",2013,83,102,81,37,14,1,2014,0,NA,"1",84,125,119,302,222,0.5,1,12.2342910028236,12.0980858118147,12.6980772653185,0.0484033428538521,14,37,444,604,51,1048,6.95463886488099,1,FALSE,10945,10945,4868.90419949155,0,0
"91","FPS",1,200,200,"2",2014,75,116,120,439,101,1,2015,0,NA,"1",80,140,132,21,0,1,1,12.2342910028236,12.5183932834861,12.866294215931,0.0274120149885615,101,439,0,21,540,21,3.04452243772342,1,FALSE,10945,10945,4868.90419949155,0,0
