"","Plot","TagID","Transplant","Year_t","Height_t","Width_t","Perp_t","NS_t","Goodbuds_t","TotFlowerbuds_t","ABFlowerbuds_t","Antcount_t","Year_t1","Newplant","Survival_t1","Height_t1","Width_t1","Perp_t1","NS_t1","Goodbuds_t1","TotFlowerbuds_t1","ABFlowerbuds_t1","Antcount_t1","comments","Ant_sp_t","Ant_sp_t1"
"162","T1","SJ13",0,2005,33,12,12,3,0,0,NA,0,2006,0,1,31,18,9,1,0,0,NA,0,"","vacant","vacant"
"163","T1","SJ17",0,2005,26,11,10,3,0,0,NA,0,2006,0,1,20,12,4,0,0,0,NA,0,"","vacant","vacant"
"164","T1","SJ2",0,2005,51,22,14,2,0,0,NA,8,2006,0,1,52,22,11,5,0,0,NA,16,"","crem","crem"
"165","T1","SJ20",0,2005,21,19,14,0,0,0,NA,0,2006,0,1,18,14,8,0,0,0,NA,0,"","vacant","vacant"
"166","T1","SJ3",0,2005,34,35,27,4,0,0,NA,2,2006,0,1,34,35,18,2,0,0,NA,6,"","crem","crem"
"167","T1","SJ4",0,2005,61,33,24,7,0,0,NA,13,2006,0,1,55,35,34,0,0,0,NA,14,"","crem","crem"
"168","T1","SJ5",0,2005,30,14,9,3,0,0,NA,6,2006,0,1,30,15,6,2,0,0,NA,8,"","crem","crem"
"169","T1","SJ7",0,2005,33,24,22,3,0,0,NA,0,2006,0,1,38,25,19,1,0,0,NA,7,"","vacant","liom"
"170","T1","SJ9",0,2005,9,5,4,2,0,0,NA,0,2006,0,1,10,6,2,0,0,0,NA,0,"","vacant","vacant"
"171","T2","AD1",0,2005,124,88,73,16,20,20,0,38,2006,0,1,111,76,74,15,17,17,0,83,"","liom","liom"
"172","T2","AD11",0,2005,80,57,41,4,1,1,0,0,2006,0,1,81,64,40,1,4,4,0,0,"","vacant","vacant"
"173","T2","AD12",0,2005,151,119,69,5,15,17,2,27,2006,0,1,153,109,71,12,3,10,7,19,"","crem","crem"
"174","T2","AD14",0,2005,100,105,53,16,11,23,12,9,2006,0,1,108,114,52,4,0,5,5,18,"","liom","crem"
"175","T2","AD15",0,2005,137,81,78,8,9,9,0,44,2006,0,1,126,76,69,10,3,3,0,40,"","liom","liom"
"176","T2","AD16",0,2005,84,77,40,7,2,2,0,5,2006,0,1,65,74,71,0,1,3,2,8,"","liom","liom"
"177","T2","AD17",0,2005,94,64,32,8,0,0,NA,12,2006,0,1,86,65,33,14,3,3,0,34,"","liom","liom"
"178","T2","AD18",0,2005,128,95,70,21,22,23,1,18,2006,0,1,129,95,75,35,10,15,5,39,"","liom","liom"
"179","T2","AD19",0,2005,126,47,36,3,5,5,0,12,2006,0,1,140,48,33,11,0,1,1,44,"","liom","liom"
"180","T2","AD22",0,2005,82,72,65,6,4,4,0,26,2006,0,1,81,61,52,5,3,5,2,43,"","liom","liom"
"181","T2","AD23",0,2005,145,137,98,14,9,9,0,16,2006,0,1,141,139,64,11,8,16,8,0,"","liom","vacant"
"182","T2","AD24",0,2005,153,93,54,11,7,7,0,27,2006,0,1,152,101,48,13,0,0,NA,9,"","liom","liom"
"183","T2","AD28",0,2005,117,60,53,9,15,17,2,50,2006,0,1,97,62,53,7,1,2,1,14,"","crem","liom"
"184","T2","AD29",0,2005,95,90,47,12,3,4,1,9,2006,0,1,102,89,39,4,0,4,4,0,"","liom","vacant"
"185","T2","AD3",0,2005,116,49,42,3,1,1,0,16,2006,0,1,108,42,37,0,0,0,NA,0,"","liom","vacant"
"186","T2","AD30",0,2005,124,72,42,8,12,13,1,21,2006,0,1,113,74,41,11,2,5,3,0,"","liom","vacant"
"187","T2","AD4",0,2005,171,99,69,24,16,25,9,23,2006,0,1,185,100,68,21,15,17,2,3,"","crem","crem"
"188","T2","AD6",0,2005,78,58,54,12,4,6,2,38,2006,0,1,83,52,58,10,3,5,2,61,"","liom","liom"
"189","T2","AD7",0,2005,173,93,55,27,8,11,3,18,2006,0,1,173,87,59,6,1,8,7,25,"","liom","liom"
"190","T2","AD9",0,2005,86,73,36,5,4,4,0,13,2006,0,1,73,71,48,6,6,8,2,78,"","liom","liom"
"191","T2","LJ10",0,2005,72,36,21,1,0,0,NA,0,2006,0,1,66,33,18,3,0,0,NA,0,"","vacant","vacant"
"192","T2","LJ11",0,2005,70,32,18,2,0,0,NA,2,2006,0,1,74,24,17,0,0,0,NA,2,"","liom","crem"
