"","area.t0","area.t1","logarea.t0","logarea.t1","year","Group","age","W.ARTR","W.HECO","W.POSE","W.PSSP","W.allcov","W.allpts","Treatment"
"268",48.4368698421968,56.2601244819064,3.88026129731945,4.02998601567758,"1931","P1",2,0.0643791680819516,0.0932474847895766,0.000745379981756241,0.593248184088244,0.010408025552876,0.00184,"Control"
"6691",48.444592351533,57.652823775281,3.88042071913613,4.05443922687339,"2013","P10E1",7,3.36931107905666,0,0.0825177389560584,0.0252170018775353,0.301377283000373,0.56943,"ControlModern"
"1197",48.47305,41.4546205608429,3.8810079733985,3.72459934848909,"1934","P1",5,0,0,0.0002534825,0.105609240048519,1.01679968365734,0.55092,"Control"
"10981",48.514236043386,27.9351612682345,3.88185728154067,3.32988615587582,"2015","E1",9,61.0500531592163,0,0.00131259163700162,0.0150598722895021,10.1726167736599,0.55293,"ControlModern"
"2009",48.5298436592374,28.0811892568459,3.88217894188376,3.33509993071255,"1940","P7E1",18,0,3.86551876814148e-05,0,0.0180029272714474,0.00245932413407502,0.26096,"Control"
"10510",48.58880884749,31.234716856087,3.88339323376232,3.44153019594805,"2011","P7E1",5,0.431502012455465,0.515956368009183,0.345074116972232,0,0.00372961702384195,0.05768,"ControlModern"
"1717",48.7013473903401,17.3846006269826,3.88570669685859,2.85558479292001,"1950","P7E1",28,0,0.197790741645653,0,0.00237362173992822,0.00470861520645771,0.02578,"Control"
"1600",48.8110157184193,46.3854208142668,3.8879560193203,3.8369852032699,"1933","P7E1",11,0.000737499999999999,0,0.114749389008394,0.0468832512799192,0.112590665874035,0.1415,"Control"
"20510",48.8552232957335,21.607989832252,3.88886129796684,3.07306314593541,"2008","P7E1",2,0,0.0100095171143045,0,0.64953253017464,0,1.51383,"ControlModern"
"1770",48.8605604922609,54.4120387581033,3.88897053715678,3.99658543007894,"1936","E1",5,0.248684554771209,0,0.11149416406594,0.860352882173136,0.173554594012729,0.52012,"Control"
"653",48.8650834327589,36.6788980668305,3.8890631012028,3.60220160513849,"1949","P1",5,0,0,0.0100922925094897,0.946472769004656,0.238310270508903,0.6081,"Control"
"8841",48.8758662166245,46.2418989992415,3.88928374125077,3.83388629184354,"2015","E1",9,2.71919455677683,0,0.0079478794170265,0.160508777713331,0.0746808651901267,0.17876,"ControlModern"
"3325",48.8834648623275,50.3743571499892,3.88943919742328,3.91948225889488,"1939","P10E1",8,0.375633224360645,0.0031075,0.000242745006602041,0.070696036502981,0.000153668448717838,0.93065,"Control"
"1016",48.8940285363262,50.228856726215,3.88965527320253,3.91658969672679,"1941","P1",12,0,1.64873260131746e-05,0.967875919401876,0.0312078865858089,0.0193244892272801,0.13594,"Control"
"945",48.915196505455,54.5844970501601,3.89008811518549,3.99974990562292,"1936","P1",7,0,0.0379363099638474,3.47638804979206e-05,0.0743579504057211,0.444316898144585,0.0481,"Control"
"42210",49.001219163879,16.4113496269715,3.89184517869659,2.79797314589877,"2014","P10E1",8,0,0.00016818532864731,0.0327579807308359,0,0.037843281422786,0.06213,"ControlModern"
"4375",49.0033429396303,69.1067080411752,3.89188851904129,4.23565180335824,"1946","P1E1",18,0,0.00992940809661907,0.000665557068802404,0.00330723526092306,1.38967879441202e-06,0.00085,"Control"
"3642",49.0794287232868,11.8024396626753,3.89343998007014,2.46830626117574,"1945","E1",14,0.017204254182065,0,0.0727677796094236,0.0121355725763599,0.351155082752854,0.03442,"Control"
